,Fluorescence,Layer,Vrest (mV),Input Resistance (megaohm),Cell Capacitance (pF),Membrane Time Constant (ms),Rheobase (nA),fI slope (Hz/nA),Adaptation Ratio,Sag Amplitude (mV),Spike Threshold (mV),Spike Amplitude (mV),Spike Halfwidth (ms)
17d05-1,NF,L2/3,-69.65656397892879,120.46530979311365,64.43593104040586,7.762294394590199,0.30014814815769625,1124.9999999999995,1.439716312056732,2.2123778988616607,-34.0196888932904,53.47982856602345,0.4368932038834953
17d05-2,NF,L2/3,-67.30788469930796,231.2692439008593,77.66160996126204,17.960741815864516,0.0399999997615814,8.92857141526682,,0.5317456794507507,-26.51638306511773,95.3504695892334,0.8777777777777778
17d05-3,NF,L5,-72.98825015244117,267.8340105736339,69.68194218065929,18.663194038806047,0.11794313375306503,787.1428575829764,1.0736842105263207,2.5798142558396506,-29.730851774878925,54.95798357041905,0.45851318944844116
17d05-4,NF,L2/3,-72.9914544912485,123.16753026210905,167.8265166616965,20.670777569713852,0.0909090908822218,109.99999997290698,1.786666666666666,1.6168155323375402,-33.2641570929325,99.94505911162405,0.9242424242424242
17d06-1,PV+,L2/3,-70.59229161189153,228.14104256003796,31.48815084375853,7.18373956178281,0.09903930110798659,1144.9999978521018,1.3492063492063469,1.9882664535984844,-38.985499182481036,70.53081271831806,0.41276923076923105
17d06-2,PV+,L2/3,-70.44823690561148,182.08195658231512,48.163385865985724,8.769683534107703,0.10123295138662398,872.8571420336131,1.5624999999999918,3.108169100982977,-35.19693638590838,66.8660645895683,0.3863295880149816
17d07-1,NF,L2/3,-69.42964231050931,137.9245161724905,171.76258563117054,23.690271519715168,0.14999999996591448,119.99999995032947,1.6677966101694894,1.2154627327967233,-27.16064308166504,92.9565355682373,0.794
17d07-2,NF,L5,-68.64799326940683,292.6722307778925,73.29773270744238,21.45221094244885,-0.0024390276086635005,117.14285467207873,10.227272727272714,2.6279025607638857,-25.18717313494001,81.2465071178618,0.755238095238095
17d11-1,PV+,L5,-70.79637204683743,114.89524153477785,56.06231287916825,6.441292979250323,0.2594174757281554,1030.0,1.7450980392156838,1.9164422545770208,-36.58616067128009,68.31524699567312,0.3915662650602411
17d11-2,PV+,L5,-69.79868199377793,247.44003925819348,41.46543957885521,10.260209997250184,0.03598393569832931,711.4285711880412,1.2083333333333415,2.450654000946969,-38.35469800883736,69.46218536947376,0.46168224299065436
17d11-3,PV+,L5,-70.19390878017133,221.4601163023402,36.31283348897532,8.041844327735989,0.036695156708015014,835.7142858210258,1.2678571428571546,1.6470244436552974,-38.51832782535987,72.64122546501109,0.5152610441767069
17d12-1,NF,L5,-72.96866020789513,152.00606488218216,69.3554384109939,10.542447271033726,0.09463414639825776,205.00000014956913,3.6013986013985986,3.196947502367422,-31.428016916910806,81.27593534787496,0.8008333333333335
17d13-1,PV+,L2/3,-71.81271303617038,104.6832762313694,71.1896369784712,7.452364432628211,0.19035461010108648,705.0000013527297,1.4999999999999976,2.1784694941356975,-39.102006673812866,63.60734885931015,0.36785714285714316
17d13-2,PV+,L2/3,-69.72001706636868,102.4779821860206,68.90653300069215,7.061402461345371,0.27949044574753357,784.9999985421535,1.5147928994082873,3.0107594499684325,-30.742441980462324,60.39910121716951,0.41684210526315796
17d13-3,PV+,L5,-69.03882951002855,154.5066935351442,59.19047611163312,9.145324752779372,0.1930054646765861,915.0000020584773,1.57954545454545,1.7487497040719688,-36.42748386287347,70.45403288427647,0.41003584229390705
17n29-1,PV+,L5,-71.27062694842999,129.37278940516475,254.5676971598305,32.93413307401651,0.10507462698078357,95.71428581344529,1.495253164556961,1.0696565261994948,-33.281111505296494,99.40817589230008,0.8703703703703703
17n29-2,NF,L2/3,-70.60589540921725,183.48461524095902,169.50330068876613,31.10124790895084,0.023333333298174753,137.14285709201056,1.5298701298701294,3.383752071496218,-32.925360113887464,99.57005449068748,0.8449152542372884
18123-1,NF,L2/3,-71.54819605900691,264.45918971656727,31.741727822412233,8.39439162011896,0.05019607844152046,255.00000002337435,5.707692307692294,3.5542189472853494,-27.529888869649138,87.95131681242042,0.6718232044198895
18131-1,PV+,L2/3,-68.38624631441556,103.08783102591669,73.02267002812228,7.52774866892034,0.3589999999999764,1999.9999999999973,2.013245033112586,3.9410831952335883,-28.61555041823276,60.5170622093733,0.31395348837209325
18131-2,PV+,L2/3,-69.16493753286508,217.11908484802007,41.82989889247379,9.082069366819118,0.12663677151272412,1115.0000020527518,1.0958904109589025,3.9759163904671766,-33.70706675031544,64.97164776894898,0.4031858407079648
18201-1,NF,L5,-69.60629213773288,140.3798612199648,132.28593765764938,18.570281569733737,0.06782051275763992,148.57142853986014,2.1858736059479553,1.916750512941917,-29.532294100806826,105.0327751159668,0.8657142857142858
18201-2,NF,L2/3,-71.0013680091271,272.46350064854397,47.20546929443214,12.861767413718335,0.01471264521100051,290.0000027551254,3.8133333333333366,2.761994949494948,-33.53702008864459,83.58464894762226,0.683921568627451
18202-1,PV+,L2/3,-69.4687517606295,168.323298500968,94.78915319782523,15.955222928371523,0.2202597404041943,770.0000011146843,1.6018518518518565,3.2360963147095987,-30.96580258011818,64.93090984225273,0.3119791666666669
18202-2,PV+,L2/3,-68.03511810302734,76.4142953143982,82.86445595657437,6.332029008532618,,,,2.0252574573863598,,,
18202-3,PV+,L2/3,-69.57718306321364,106.23794979936127,71.1155732344144,7.555172699230518,0.27046357622874273,755.000000757887,1.393939393939394,2.5699576175574066,-34.464514559791205,68.37680633181617,0.34476190476190494
18202-4,PV+,L2/3,-69.43729518010066,173.86059546711465,31.57969355236929,5.490464325683925,0.07691653369089378,895.7142852204508,1.3684210526315737,2.572724421337398,-41.163298662971044,73.59412742473023,0.3549535603715173
18302-1,SST+,L2/3,-67.54694249153137,167.78953684580446,86.76624109479091,14.558467407146372,0.09126760564219617,355.0000000335801,3.7195121951219563,5.695388293025474,-24.354222956825705,57.504687800126916,0.6392156862745096
18302-2,SST+,L2/3,-70.29750354473407,223.88885283649233,78.70576112202085,17.621342569232244,0.03977090489776317,415.71428563560977,2.9041095890410977,5.407468237058083,-32.6321365706314,66.4398323318662,0.5902366863905325
18302-3,SST+,L2/3,-68.11760946508554,116.0573145115014,81.9241743064649,9.50789966358046,0.09632653057145078,489.99999980537257,2.4683544303797538,6.424420212254375,-33.66760976759054,67.44384113247112,0.5830508474576271
18303-1,SST+,L2/3,-69.68050854022687,198.18081235305166,55.5036175519239,10.999752014973376,0.03898373980894894,468.5714284474007,3.1111111111111285,9.029812429408835,-28.50325032679931,62.4640041615652,0.7603260869565216
18303-2,SST+,L2/3,-68.31987069775508,237.08553047131394,64.43583127575434,15.276803239372299,0.0540540537637645,369.99999919324307,6.754098360655702,3.028638435132578,-33.61934084050796,57.42689703417425,0.6453781512605044
18307-1,SST+,L2/3,-70.42939816988431,207.69194681235027,79.16842852822677,16.442645047101827,0.08637681156180524,344.9999999136164,4.077922077922081,6.03138316761364,-27.341587885291176,68.92516180055331,0.5384955752212388
18307-2,SST+,L2/3,-71.165892967811,245.36793198742347,46.515271588552906,11.41335599551658,0.03119850214683462,508.5714294906387,2.2533333333333454,6.893273555871218,-32.353878714821555,69.62806159916909,0.5882063882063882
18308-1,SST+,L2/3,-71.07498579758864,339.8593381413893,53.42744186410414,18.157815030521984,0.05191489359957244,469.999999923909,3.000000000000007,8.528576552265818,-26.86763692633506,67.0871819221169,0.8297546012269937
18308-2,SST+,L2/3,-69.28919102595403,206.38234341771326,52.964618886243905,10.93096216396909,0.07843137253792888,509.9999998647737,2.0898876404494326,5.785701250789145,-27.884724474841764,65.77295894504334,0.618944099378882
18315-1,SST+,L2/3,-69.49683967003456,146.053741893383,82.96396473371475,12.117197491669703,0.07865319866309675,424.28571432699886,1.9523809523809523,7.208629484850945,-31.80621149768568,76.39740972649561,0.6116438356164383
18316-1,SST+,L2/3,-68.35227790612441,244.27291552179432,61.527995513759926,15.029622850358018,0.03014891186199912,415.7142859530554,2.8051948051947915,7.949367122457488,-32.51192587021499,59.91260443793403,0.6956140350877194
18316-2,SST+,L2/3,-72.95407045804538,370.13183501124286,47.101361169032344,17.43371324102124,0.028338834062734276,432.85714357997125,7.7261904761904425,7.020268858321984,-30.352877741011362,60.96927305109917,0.7517460317460317
18319-1,SST+,L2/3,-69.28433168851413,141.07536836103958,72.855199756089,10.278074142607377,0.13747572811187747,514.9999997222307,2.817073170731714,5.686757945051099,-28.230084850477137,67.30850431193475,0.5795652173913042
18319-2,SST+,L2/3,-69.39830310528095,191.00928930259371,144.8324253132774,27.6643386270601,0.06457831332236265,415.0000003016138,2.2242990654205697,5.955551609848484,-29.040052501248642,58.700127799746014,0.6771126760563381
18320-1,SST+,L2/3,-69.36292618971605,193.8411326953025,84.7289742982673,16.423960350087306,0.013333333066222343,569.9999988079071,2.257142857142867,14.686353278882578,-33.06112965922841,65.63816607469333,0.5584199584199583
18321-1,SST+,L2/3,-68.78372625541687,150.70412002998572,51.772070264710706,7.802264291373817,0.06792452840437695,530.0000005901187,2.397058823529401,9.175621294734455,-29.283233823722966,75.41933229116088,0.45865921787709496
18321-2,SST+,L2/3,-69.49293107252855,167.7639777843768,73.63230282140883,12.352848014743337,0.02095238072129951,524.9999991252824,3.0273972602739945,12.481689453125,-32.21885177278027,65.36502970616841,0.7038659793814434
18327-1,SST+,L2/3,-69.15104029728816,221.3651967832876,118.2235933315612,26.17058900226841,0.04899999944227086,399.99999829701034,45.298701298701374,4.448168205492422,-32.646362416337176,60.21341024491845,0.7809756097560976
18327-2,SST+,L2/3,-68.20106332118695,139.12756076966866,98.74882923806699,13.738683740752798,0.13512605058623425,595.0000011219697,1.7070707070707087,6.213263232298573,-30.18416316483793,66.27309676336648,0.44982206405693953
18328-3,SST+,L2/3,-68.15894905237052,247.31475832625316,74.78642953018668,18.49578774534148,0.016521739074040618,459.99999969706215,3.047058823529409,10.931149877683083,-28.737804470640242,59.733741793093934,0.8002754820936637
18402-1,SST+,L2/3,-70.32534496600812,213.76087133392272,106.96354688670225,22.86462098346837,0.03999999995181476,479.99999974455153,2.1595744680851188,5.089037376943267,-30.418891170750495,65.00990041442539,0.5766304347826087
18402-2,SST+,L2/3,-72.51735217754657,299.9294980762227,61.65455188015528,18.492018799529408,0.020542264708353616,298.57142850065077,6.662337662337666,8.879682829885766,-27.353229587517895,64.97429100575957,0.9082524271844659
18402-3,SST+,L2/3,-68.39344158378015,138.12085984880144,139.03863742220645,19.2041361529609,0.0587341770823055,394.99999963186133,1.8921568627451069,6.8171413691356975,-35.612773038245535,71.33380102466893,0.46148648648648655
18404-1,SST+,L2/3,-67.97450549785907,164.14562633882935,78.54396852827999,12.89264890921182,0.10307692339552867,520.0000019571675,1.845360824742268,5.304517572576344,-32.735047044200705,63.32344899486763,0.5477815699658704
18412-1,NF,L2/3,-71.14286393385667,196.2594192437451,98.41571069576491,19.315010225611257,0.07583333394853467,160.0000008339503,2.1192052980132416,2.3033065025252455,-30.568942268296045,72.98233069995842,0.9346534653465347
18412-2,NF,L2/3,-68.91143035888672,270.38978027574944,112.53529162337982,30.428392775313057,0.04190476199272457,140.0000000892042,2.1189801699716693,1.3541789970012559,-27.038002408553506,60.364907186722085,1.4822429906542058
18412-3,PV+,L2/3,-70.87034196120042,167.8950030446763,74.57615147345817,12.5209631786965,0.14721461180294385,729.9999995520903,1.088495575221244,2.189561855431762,-36.71236637495796,62.46330048022313,0.4404833836858008
18418-1,PV+,L2/3,-70.62411205585187,156.27875309096277,82.74511945568268,12.931304092896854,0.15244332488879012,567.1428568854784,1.1940298507462657,2.9383254542495223,-27.199862307812793,63.318454030048414,0.4341365461847388
18425-1,NF,L2/3,-69.80397561880258,155.57218580534968,52.35474880663359,8.144942709138009,0.07664197523671822,964.2857137420273,1.2622950819672276,3.115265185423567,-41.504369622496164,63.39806099170238,0.3913242009132422
18426-1,NF,L2/3,-70.13039637477581,149.5421798623124,158.4166328065634,23.689968596341,0.04521739165063065,115.00000030699384,2.4580645161290335,2.4907329058406305,-31.872421830565063,89.93630216409872,0.9494505494505494
18518-1,SST+,L2/3,-70.59326582688551,319.7001591089383,87.82899470393251,28.07894358122532,0.0027450773334703246,145.7142680122846,2.0508474576271207,8.730801669034093,-31.039426403045653,54.45251096725464,0.9979999999999998
18518-2,SST+,L2/3,-74.67502711369441,598.0451763556183,44.14369618149692,26.39992456785216,-0.021409214293029537,351.4285711950419,30.36538461538451,11.156787371394614,-30.416691236259524,62.43366426463462,1.0429752066115703
18518-3,SST+,L2/3,-72.30755556546725,224.085825530089,73.36051347183256,16.439051222646818,0.03186991840339157,409.9999992476539,2.4742268041237,8.909899779040401,-26.209101327457784,64.41672812633632,0.7313664596273292
18518-4,SST+,L2/3,-71.20693911038913,239.73559755761516,60.88634282707073,14.596623780745617,0.050410959029135984,365.000000416416,2.405172413793097,7.169473050820713,-33.90351773396191,65.99570810296237,0.6596958174904942
18529-1,NF,L2/3,-70.76437554021982,146.93904481752955,60.94548023680901,8.95527065194234,0.07999999941860124,229.99999888565225,2.3414634146341484,6.018132281062577,-36.34255737728543,51.475399983307675,0.8944444444444445
18529-2,NF,L2/3,-68.75393618070163,208.37686023326827,53.40573350892986,11.12851906704545,0.06974358930303617,129.9999995787882,4.020202020202019,4.297738123421723,-35.4175319457322,67.36497608999188,0.9426966292134831
18531-1,SST+,L2/3,-70.53312272291917,228.73833251968935,72.84134867577248,16.66160863458148,0.04537313513607128,335.00000199930736,4.310344827586213,9.184249723800505,-26.120327250677565,72.83816560752962,0.6829959514170039
18531-2,NF,L2/3,-71.92389092078575,173.40735608189564,134.41943316750417,23.30931851160397,0.08434108529901425,122.85714288222565,1.7199999999999978,3.109712088228477,-24.139026241537966,97.99532593621149,0.762962962962963
18531-3,SST+,L2/3,-71.27683610182542,207.2454975615262,68.40603858340246,14.176843502430204,0.05560975597911811,409.99999959090354,10.35164835164833,8.146960325915401,-33.203562698639686,63.805971180058556,0.655595667870036
18601-1,NF,L2/3,-68.68745481637808,134.77183953789265,47.90008674878218,6.455582805158009,0.17960784327631288,765.0000010596382,1.3577981651376134,4.32055638631185,-34.150785048802696,75.25588078209849,0.3962121212121215
18601-2,NF,L2/3,-71.89488748403696,154.23417322563407,122.31833391421604,18.86566710159615,0.09333333344471034,135.00000014349266,1.811855670103091,2.725622581713125,-27.65796637829439,101.15634376620069,0.8777777777777777
18601-3,NF,L2/3,-71.29291651799129,93.69957446691792,161.35424184444648,15.118823799256797,0.13387387399045986,105.71428577991695,1.4925864909390432,2.8353604403409065,-30.494100754077618,99.72204534824078,0.7692307692307693
